TH,psi,SE,LCI,UCI
0,0.01116639,0.022904068,0.000193644,0.397009197
12.625,0.014568964,0.028165684,0.000316014,0.40879157
25.25,0.018988445,0.034481218,0.000513976,0.421483144
37.875,0.024714929,0.041995671,0.000832573,0.435243782
50.5,0.032111886,0.050844091,0.001342068,0.450270051
63.125,0.041628191,0.061134957,0.002150432,0.466803259
75.75,0.053807858,0.072928693,0.003420341,0.485138505
88.375,0.06929337,0.086212554,0.005390455,0.505632411
101,0.088817232,0.100876609,0.008398424,0.528706306
113.625,0.113173156,0.116697911,0.012898119,0.554836112
126.25,0.143158628,0.133343502,0.019456248,0.584515987
138.875,0.179481041,0.150398638,0.028705561,0.618173754
151.5,0.222624783,0.167412888,0.041231546,0.656012658
164.125,0.272692589,0.183934751,0.057392815,0.697774439
176.75,0.329251566,0.199487631,0.0771279,0.742476732
189.375,0.391231171,0.213465056,0.099854923,0.788274809
202,0.45692982,0.225006324,0.124559278,0.832650315
214.625,0.524161997,0.232990096,0.15005183,0.872988113
227.25,0.59052966,0.236247245,0.175259655,0.907300512
239.875,0.653755134,0.233932483,0.19940975,0.934695557
252.5,0.711979756,0.22585273,0.222064858,0.955370795
265.125,0.763948572,0.212572157,0.243060442,0.970254334
277.75,0.809055212,0.195261903,0.262412198,0.980568447
290.375,0.847265643,0.175399458,0.280234847,0.987505891
303,0.8789736,0.154459855,0.296686156,0.992065908
315.625,0.904838259,0.133696035,0.31193312,0.995010679
328.25,0.925642908,0.114034478,0.326134616,0.996886654
340.875,0.942189802,0.096065753,0.339433766,0.998069226
353.5,0.955232554,0.080092403,0.351955366,0.998808562
366.125,0.965440595,0.066198744,0.363806452,0.999267775
378.75,0.973385834,0.054320733,0.375078041,0.999551506
391.375,0.97954316,0.044304935,0.385846972,0.999726064
404,0.984298922,0.035952465,0.39617807,0.999833078
416.625,0.987962671,0.029049302,0.406126117,0.999898492
429.25,0.990779515,0.023385686,0.415737305,0.999938378
441.875,0.992941895,0.018767082,0.425050728,0.999962647
454.5,0.994599925,0.015019575,0.434099633,0.999977388
467.125,0.995870084,0.011991737,0.442912221,0.999986327
479.75,0.996842436,0.009554157,0.451512565,0.999991741
492.375,0.997586409,0.007597831,0.459921221,0.999995015
505,0.998155416,0.006031941,0.468155881,0.999996994
517.625,0.998590468,0.004781511,0.476231671,0.999998188
530.25,0.998923022,0.003785066,0.48416161,0.999998909
542.875,0.99917718,0.002992483,0.491956994,0.999999343
555.5,0.999371397,0.002363109,0.499627515,0.999999605
568.125,0.999519793,0.001864091,0.507181554,0.999999762
580.75,0.99963317,0.001468974,0.514626432,0.999999857
593.375,0.999719786,0.001156522,0.521968434,0.999999914
606,0.999785955,0.000909729,0.529213002,0.999999948
618.625,0.999836501,0.000715009,0.536364924,0.999999969
631.25,0.999875113,0.000561529,0.543428287,0.999999981
643.875,0.999904606,0.000440671,0.550406635,0.999999989
656.5,0.999927136,0.000345583,0.557303098,0.999999993
669.125,0.999944344,0.000270835,0.564120325,0.999999996
681.75,0.999957489,0.00021212,0.570860627,0.999999998
694.375,0.999967529,0.000166036,0.577525975,0.999999999
707,0.999975198,0.000129889,0.584118124,0.999999999
719.625,0.999981056,0.000101556,0.590638527,0.999999999
732.25,0.99998553,7.93623E-05,0.597088425,1
744.875,0.999988948,6.19877E-05,0.603468936,1
757.5,0.999991558,4.83938E-05,0.999991558,0.999991558
770.125,0.999993552,3.77638E-05,0.999993552,0.999993552
782.75,0.999995075,2.94558E-05,0.999995075,0.999995075
795.375,0.999996238,2.29658E-05,0.999996238,0.999996238
808,0.999997127,1.78986E-05,0.999997127,0.999997127
820.625,0.999997805,1.39439E-05,0.999997805,0.999997805
833.25,0.999998324,1.0859E-05,0.999998324,0.999998324
845.875,0.99999872,8.45346E-06,0.99999872,0.99999872
858.5,0.999999022,6.57854E-06,0.999999022,0.999999022
871.125,0.999999253,5.11774E-06,0.999999253,0.999999253
883.75,0.999999429,3.98003E-06,0.999999429,0.999999429
896.375,0.999999564,3.09427E-06,0.999999564,0.999999564
909,0.999999667,2.40491E-06,0.999999667,0.999999667
921.625,0.999999746,1.86858E-06,0.999999746,0.999999746
934.25,0.999999806,1.45145E-06,0.999999806,0.999999806
946.875,0.999999852,1.12713E-06,0.999999852,0.999999852
959.5,0.999999887,8.75045E-07,0.999999887,0.999999887
972.125,0.999999913,6.79164E-07,0.999999913,0.999999913
984.75,0.999999934,5.27E-07,0.999999934,0.999999934
997.375,0.99999995,4.08829E-07,0.99999995,0.99999995
1010,0.999999961,3.17082E-07,0.999999961,0.999999961
1022.625,0.999999971,2.45868E-07,0.999999971,0.999999971
1035.25,0.999999978,1.90605E-07,0.999999978,0.999999978
1047.875,0.999999983,1.47733E-07,0.999999983,0.999999983
1060.5,0.999999987,1.14479E-07,0.999999987,0.999999987
1073.125,0.99999999,8.8693E-08,0.99999999,0.99999999
1085.75,0.999999992,6.87014E-08,0.999999992,0.999999992
1098.375,0.999999994,5.32058E-08,0.999999994,0.999999994
1111,0.999999996,4.11975E-08,0.999999996,0.999999996
1123.625,0.999999997,3.18937E-08,0.999999997,0.999999997
1136.25,0.999999997,2.46866E-08,0.999999997,0.999999997
1148.875,0.999999998,1.91048E-08,0.999999998,0.999999998
1161.5,0.999999998,1.47826E-08,0.999999998,0.999999998
1174.125,0.999999999,1.14363E-08,0.999999999,0.999999999
