EL,psi,SE,LCI,UCI
510,1.02192E-06,1.10083E-05,1.02192E-06,1.02192E-06
528.3,1.27516E-06,1.35162E-05,1.27516E-06,1.27516E-06
546.6,1.59115E-06,1.65911E-05,1.59115E-06,1.59115E-06
564.9,1.98545E-06,2.036E-05,1.98545E-06,1.98545E-06
583.2,2.47745E-06,2.49781E-05,2.47745E-06,2.47745E-06
601.5,3.09137E-06,3.06348E-05,3.09137E-06,3.09137E-06
619.8,3.85743E-06,3.75613E-05,3.85743E-06,3.85743E-06
638.1,4.81332E-06,4.60395E-05,4.81332E-06,4.81332E-06
656.4,6.00608E-06,5.64133E-05,6.00608E-06,6.00608E-06
674.7,7.49442E-06,6.91016E-05,7.49442E-06,7.49442E-06
693,9.35156E-06,8.46143E-05,9.35156E-06,9.35156E-06
711.3,1.16689E-05,0.000103572,3.24789E-13,0.997620437
729.6,1.45605E-05,0.000126731,5.67929E-13,0.997328423
747.9,1.81686E-05,0.000155007,9.92995E-13,0.997000944
766.2,2.26708E-05,0.000189516,1.73604E-12,0.996633771
784.5,2.82886E-05,0.000231611,3.0348E-12,0.99622219
802.8,3.52984E-05,0.000282932,5.30461E-12,0.995760945
821.1,4.40451E-05,0.000345467,9.27106E-12,0.995244185
839.4,5.49592E-05,0.000421622,1.62014E-11,0.994665406
857.7,6.85775E-05,0.000514309,2.83087E-11,0.994017375
876,8.55699E-05,0.000627044,4.9457E-11,0.993292071
894.3,0.000106772,0.000764072,8.63915E-11,0.992480599
912.6,0.000133228,0.000930511,1.50885E-10,0.991573113
930.9,0.000166237,0.00113252,2.6348E-10,0.990558741
949.2,0.000207423,0.001377511,4.60013E-10,0.98942548
967.5,0.00025881,0.001674373,8.02981E-10,0.988160136
985.8,0.000322924,0.002033771,1.40136E-09,0.986748201
1004.1,0.000402914,0.002468457,2.44507E-09,0.985173806
1022.4,0.000502708,0.002993662,4.26505E-09,0.983419613
1040.7,0.000627204,0.003627535,7.43769E-09,0.981466752
1059,0.000782507,0.004391643,1.29665E-08,0.979294797
1077.3,0.000976227,0.005311553,2.25977E-08,0.976881683
1095.6,0.001217847,0.006417466,3.93687E-08,0.974203768
1113.9,0.001519178,0.007744941,6.85591E-08,0.971235824
1132.2,0.001894927,0.009335672,1.19341E-07,0.967951149
1150.5,0.00236339,0.011238278,2.07638E-07,0.964321774
1168.8,0.002947327,0.013509182,3.6107E-07,0.960318644
1187.1,0.003675007,0.016213348,6.27503E-07,0.955912082
1205.4,0.004581521,0.019425014,1.08981E-06,0.951072216
1223.7,0.005710368,0.023228131,1.89129E-06,0.945769697
1242,0.007115359,0.027716382,3.27943E-06,0.939976649
1260.3,0.008862963,0.032992703,5.68094E-06,0.933667718
1278.6,0.011035017,0.039167679,9.83029E-06,0.92682168
1296.9,0.013732004,0.046356793,1.69889E-05,0.91942317
1315.2,0.017076771,0.054675653,2.9318E-05,0.911465046
1333.5,0.021218697,0.064232639,5.05091E-05,0.902951353
1351.8,0.026338333,0.075118575,8.68452E-05,0.893900712
1370.1,0.032652004,0.087392018,0.000148973,0.884350944
1388.4,0.040416353,0.101060563,0.000254835,0.874364335
1406.7,0.04993166,0.1160571,0.000434461,0.864034702
1425,0.0615435,0.132213222,0.000737674,0.853495756
1443.3,0.07564078,0.149231684,0.001246189,0.842932011
1461.6,0.092648359,0.166663847,0.002091977,0.832592588
1479.9,0.113012569,0.183901973,0.003483756,0.822808256
1498.2,0.137176067,0.200198144,0.005741995,0.81401296
1516.5,0.165541788,0.214726975,0.009338158,0.806768259
1534.8,0.198424267,0.226704168,0.014922515,0.801787716
