TC,psi,SE,LCI,UCI
0,0.001865607,0.005442,6.08101E-06,0.364874483
0.00875,0.002173005,0.006197451,8.03577E-06,0.371137923
0.0175,0.002530926,0.007053734,1.06169E-05,0.377488343
0.02625,0.002947626,0.00802344,1.40244E-05,0.383927772
0.035,0.003432697,0.009120548,1.85216E-05,0.390458531
0.04375,0.003997274,0.010360517,2.44552E-05,0.397083216
0.0525,0.004654271,0.011760369,3.22819E-05,0.403804666
0.06125,0.005418666,0.013338788,4.2602E-05,0.410626127
0.07,0.006307809,0.01511618,5.62053E-05,0.417551239
0.07875,0.007341771,0.017114679,7.4129E-05,0.424584026
0.0875,0.008543759,0.019358173,9.77355E-05,0.431729079
0.09625,0.00994057,0.02187222,0.000128812,0.438991564
0.105,0.011563075,0.024683876,0.000169702,0.446377238
0.11375,0.013446816,0.027821509,0.000223473,0.453892687
0.1225,0.015632577,0.031314348,0.00029414,0.461545256
0.13125,0.018167087,0.035192022,0.000386946,0.469343323
0.14,0.021103717,0.039483794,0.000508734,0.477296372
0.14875,0.024503183,0.044217548,0.000668416,0.485415078
0.1575,0.028434342,0.049418613,0.000877577,0.493711627
0.16625,0.03297489,0.055108149,0.001151249,0.502199859
0.175,0.038211963,0.061301156,0.001508877,0.510895428
0.18375,0.044242734,0.068004263,0.001975548,0.519816225
0.1925,0.051174686,0.075212999,0.002583509,0.528982614
0.20125,0.059125522,0.082908719,0.003374028,0.538417701
0.21,0.068222832,0.091055504,0.004399659,0.548147878
0.21875,0.078602987,0.099596855,0.005726911,0.558203177
0.2275,0.090409211,0.108452612,0.007439306,0.568617619
0.23625,0.10378903,0.117516799,0.009640791,0.579429884
0.245,0.118890091,0.12665627,0.012459213,0.590683485
0.25375,0.135855255,0.135711561,0.016049628,0.60242732
0.2625,0.154815984,0.144499955,0.020596697,0.614715719
0.27125,0.175884303,0.152821646,0.026315269,0.627608109
0.28,0.199144176,0.16046962,0.033448008,0.64116844
0.28875,0.224641663,0.167242736,0.04225821,0.65546337
